Angielski,Polski
part,część
history,historia
search,szukać
only,tylko
police,policja
thought,myślałem
help,pomoc
request,żądanie
kind,rodzaj
month,miesiąc
brother,brat
let,pozwolić
because,ponieważ
to put,umieścić
no,żaden
leash,smycz
them,oni
city,miasto
each,każdy
speak,mówić
come,przyjść
should,powinien
baby,dziecko
long time,długo
hours,godziny
will,będą
while,podczas
meet again,spotkać się ponownie
any,żaden
square,miejsce
speak,mówić
understood,zrozumiane
knew,wiedziałem
were,byli
Warning,uwaga
here is,oto
could,mógłby
case,sprawa
give,dać
type,typ
their,ich
given,dana
train,pociąg
body,ciało
place,miejsce
eyes,oczy
way,sposób
listen,słuchać
whose,którego
find,znaleźć
first,pierwszy
lost,zagubiony
hand,ręka
first,pierwszy
side,strona
power,moc
old,stary
be,bądź
here,tutaj
morning,rano
so much,tak bardzo
child,dziecko
point,punkt
came,przyszedł
after,po
sorry,przepraszam
come,chodź
in front of,przed
towards,ku
minutes,minuty
request,żądanie
bedroom,sypialnia
placed,umieścił
beautiful,piękny
law,prawo
would like to,chciałbym
today,dzisiaj
husband,mąż
cause,przyczyna
finally,w końcu
hope,mam nadzieję
water,woda
Wait,czekać
left,wyszedł
new,nowy
job,praca
Stop,zatrzymać
would say,powiedziałby
Earth,ziemia
account,konto
given,dana
far,daleko
end,koniec
believe,wierzyć
sweetheart,kochanie
large,duży
rather,raczej
will have,będzie
girls,dziewczyny
play,grać
office,biuro
flaming,flamingo
complicated,skomplikowany
synopsis,konspekt
Winnie the Pooh,szczerbatek
surprising,zaskakujący
kangaroo,kangur
harmony,harmonia
flower,kwiat
troubles,kłopoty
chocolatey,czekoladowy
fantastic,rewelacyjny
